RecNo.,Time,Pressure1,Pressure2,Temp.1,Temp.2,Temp. 3,Temp. 4
No.   ,sec,kgf/§²,kgf/§²,¡É,¡É,¡É,¡É
         1,        60,     23.42,      0.00,    214.40,      0.00,      0.00,      0.00
         2,       120,     23.42,      0.00,    214.40,      0.00,      0.00,      0.00
         3,       180,     23.42,      0.00,    214.50,      0.00,      0.00,      0.00
         4,       240,     23.42,      0.00,    214.50,      0.00,      0.00,      0.00
         5,       300,     23.42,      0.00,    214.40,      0.00,      0.00,      0.00
         6,       360,     23.42,      0.00,    214.40,      0.00,      0.00,      0.00
         7,       420,     23.42,      0.00,    214.40,      0.00,      0.00,      0.00
         8,       480,     23.42,      0.00,    214.60,      0.00,      0.00,      0.00
         9,       540,     23.42,      0.00,    214.50,      0.00,      0.00,      0.00
        10,       600,     23.42,      0.00,    214.50,      0.00,      0.00,      0.00
        11,       660,     23.42,      0.00,    214.50,      0.00,      0.00,      0.00
        12,       720,     23.41,      0.00,    214.40,      0.00,      0.00,      0.00
        13,       780,     23.41,      0.00,    214.20,      0.00,      0.00,      0.00
        14,       840,     23.42,      0.00,    214.40,      0.00,      0.00,      0.00
        15,       900,     23.42,      0.00,    214.30,      0.00,      0.00,      0.00
        16,       960,     23.43,      0.00,    214.40,      0.00,      0.00,      0.00
        17,      1020,     23.43,      0.00,    214.30,      0.00,      0.00,      0.00
        18,      1080,     23.42,      0.00,    214.40,      0.00,      0.00,      0.00
        19,      1140,     23.42,      0.00,    214.40,      0.00,      0.00,      0.00
        20,      1200,     23.42,      0.00,    214.50,      0.00,      0.00,      0.00
        21,      1260,     23.44,      0.00,    214.40,      0.00,      0.00,      0.00
        22,      1320,     23.42,      0.00,    214.50,      0.00,      0.00,      0.00
        23,      1380,     23.42,      0.00,    214.30,      0.00,      0.00,      0.00
        24,      1440,     23.42,      0.00,    214.10,      0.00,      0.00,      0.00
        25,      1500,     23.42,      0.00,    213.60,      0.00,      0.00,      0.00
        26,      1560,     23.40,      0.00,    212.90,      0.00,      0.00,      0.00
