pressure,temperature
18.45,1.25
18.44,1.25
18.47,1.27
18.45,1.24
18.45,1.23
18.45,1.22
18.46,1.21
18.46,1.22
18.45,1.23
18.46,1.24
18.49,1.26
18.46,1.24
18.46,1.23
18.46,1.23
18.46,1.22
18.46,1.22
18.46,1.23
18.46,1.25
18.47,1.24
18.45,1.24
18.46,1.23
18.45,1.21
18.43,1.19
18.46,1.19
18.46,1.1800000000000002
18.46,1.2
18.46,1.21
18.46,1.21
18.46,1.22
18.46,1.21
18.46,1.21
18.46,1.23
18.47,1.23
18.46,1.21
18.46,1.23
18.48,1.24
18.47,1.23
18.46,1.24
18.46,1.24
18.46,1.23
18.46,1.23
18.46,1.22
18.46,1.23
18.47,1.26
18.49,1.24
18.38,1.22
18.46,1.19
18.46,1.21
18.46,1.21
18.47,1.2
18.46,1.23
18.47,1.21
18.46,1.2
18.46,1.21
18.46,1.24
18.46,1.23
18.46,1.21
18.46,1.2
18.46,1.1800000000000002
18.46,1.1800000000000002
18.46,1.21
18.46,1.23
18.46,1.25
18.46,1.23
18.46,1.23
18.47,1.25
18.47,1.25
18.46,1.24
18.46,1.23
18.47,1.21
18.45,1.2
18.46,1.19
18.47,1.19
18.47,1.19
18.48,1.2
18.47,1.23
18.47,1.21
18.48,1.19
18.46,1.2
18.47,1.21
18.47,1.21
18.47,1.2
18.46,1.1800000000000002
18.46,1.1800000000000002
18.46,1.19
18.46,1.22
18.46,1.22
18.45,1.2
18.46,1.2
18.46,1.2
18.46,1.19
18.46,1.1800000000000002
18.44,1.19
18.45,1.19
18.46,1.19
18.45,1.2
18.45,1.21
18.44,1.2
18.45,1.19
18.43,1.21
18.44,1.19
18.45,1.19
18.45,1.19
18.45,1.21
18.46,1.22
18.44,1.19
18.44,1.21
18.44,1.21
18.46,1.2
18.44,1.19
18.44,1.22
18.43,1.19
18.45,1.2
18.46,1.19
18.45,1.19
18.44,1.2
18.46,1.21
18.46,1.19
18.46,1.2
18.45,1.2
18.46,1.21
18.45,1.2
18.46,1.19
18.46,1.19
18.45,1.19
18.45,1.2
18.45,1.19
18.45,1.2
18.44,1.17
18.45,1.19
18.47,1.2
18.44,1.19
18.43,1.21
18.43,1.23
18.42,1.21
18.46,1.19
18.46,1.19
18.44,1.19
18.43,1.21
18.45,1.2
18.43,1.21
18.45,1.21
18.45,1.21
18.46,1.22
18.44,1.22
18.44,1.22
18.43,1.19
18.44,1.2
18.43,1.1800000000000002
18.43,1.1800000000000002
18.44,1.1800000000000002
18.45,1.1800000000000002
18.43,1.17
18.43,1.15
18.43,1.17
18.43,1.17
18.43,1.21
18.43,1.21
18.43,1.19
18.43,1.19
18.43,1.17
18.43,1.17
18.43,1.17
18.43,1.19
18.43,1.19
18.41,1.1800000000000002
18.43,1.2
18.42,1.1800000000000002
18.42,1.19
18.43,1.1800000000000002
18.41,1.17
18.43,1.19
18.42,1.19
18.42,1.19
18.42,1.19
18.41,1.1800000000000002
18.41,1.19
18.41,1.19
18.4,1.19
18.4,1.19
18.4,1.2
18.4,1.21
18.41,1.21
18.43,1.16
18.42,1.1800000000000002
18.41,1.19
18.43,1.21
18.43,1.22
18.43,1.23
18.4,1.23
18.4,1.21
18.42,1.21
18.42,1.23
18.42,1.21
18.42,1.21
18.42,1.24
18.42,1.23
18.43,1.23
18.42,1.23
18.42,1.24
18.42,1.22
18.43,1.21
18.43,1.21
18.43,1.21
18.42,1.2
18.43,1.2
18.42,1.2
18.43,1.1800000000000002
18.41,1.19
18.42,1.19
18.42,1.21
18.44,1.21
18.4,1.19
18.41,1.19
18.42,1.21
18.4,1.21
18.41,1.17
18.41,1.19
18.4,1.2
18.4,1.2
18.41,1.19
18.4,1.17
18.4,1.19
18.41,1.2
18.4,1.22
18.41,1.21
18.43,1.21
18.41,1.21
18.45,1.24
18.42,1.26
18.43,1.27
18.42,1.27
18.43,1.3
18.43,1.29
18.46,1.31
18.45,1.3199999999999998
18.44,1.31
18.43,1.31
18.45,1.3
18.45,1.28
18.46,1.31
18.46,1.3199999999999998
18.47,1.3199999999999998
18.45,1.33
18.49,1.34
18.48,1.33
18.49,1.35
18.51,1.3599999999999999
18.5,1.3599999999999999
18.49,1.3599999999999999
18.5,1.35
18.51,1.35
18.52,1.34
18.53,1.34
18.53,1.3699999999999999
18.52,1.3900000000000001
18.53,1.3900000000000001
18.53,1.3800000000000001
18.55,1.3900000000000001
18.54,1.3699999999999999
18.54,1.3900000000000001
18.54,1.4
18.55,1.41
18.56,1.4
18.56,1.3800000000000001
18.56,1.3800000000000001
18.57,1.3800000000000001
18.58,1.4
18.56,1.41
18.57,1.4300000000000002
18.59,1.42
18.6,1.42
18.6,1.4300000000000002
18.59,1.41
18.58,1.4300000000000002
18.59,1.44
18.59,1.4300000000000002
18.6,1.42
18.6,1.4
18.59,1.3699999999999999
18.59,1.3599999999999999
18.6,1.3699999999999999
18.59,1.35
18.61,1.3699999999999999
18.6,1.3699999999999999
18.6,1.3599999999999999
18.61,1.3599999999999999
18.59,1.3900000000000001
18.61,1.3800000000000001
18.63,1.3900000000000001
18.6,1.4
18.61,1.4
18.6,1.4
18.6,1.41
18.63,1.41
18.63,1.3800000000000001
18.62,1.3699999999999999
18.63,1.4
18.62,1.3699999999999999
18.65,1.41
18.62,1.41
18.63,1.41
18.63,1.42
18.66,1.42
18.63,1.3900000000000001
18.63,1.3800000000000001
18.64,1.3800000000000001
18.63,1.3800000000000001
18.64,1.3800000000000001
18.64,1.3699999999999999
18.66,1.3800000000000001
18.64,1.3900000000000001
18.65,1.3900000000000001
18.63,1.41
18.64,1.3900000000000001
18.65,1.3900000000000001
18.64,1.3800000000000001
18.63,1.3599999999999999
18.66,1.3599999999999999
18.64,1.3699999999999999
18.64,1.4
18.65,1.3699999999999999
18.65,1.3699999999999999
18.65,1.3599999999999999
18.66,1.3699999999999999
18.66,1.3800000000000001
18.67,1.4
18.64,1.4300000000000002
18.66,1.44
18.65,1.4300000000000002
18.67,1.4300000000000002
18.66,1.44
18.67,1.4300000000000002
18.68,1.4
18.67,1.4
18.68,1.41
18.67,1.41
18.69,1.41
18.68,1.41
18.69,1.3900000000000001
